"Stack Trace";"Sample Count";"Percentage(%)"
"ForkJoinWorkerThread.run()";"1,056";"79.04%"
"   ForkJoinPool.runWorker(ForkJoinPool$WorkQueue)";"1,056";"79.04%"
"      ForkJoinPool.scan(ForkJoinPool$WorkQueue, int)";"1,056";"79.04%"
"         ForkJoinPool$WorkQueue.runTask(ForkJoinTask)";"1,056";"79.04%"
"            ForkJoinTask.doExec()";"1,056";"79.04%"
"               CancellableForkJoinTask.exec()";"1,056";"79.04%"
"                  ContextualCancellableRecursiveAction.executeTask()";"837";"62.65%"
"                     LongContextualCancellableRecursiveBoundedAction.compute()";"837";"62.65%"
"                        LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"837";"62.65%"
"                           LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"656";"49.10%"
"                              LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"395";"29.57%"
"                                 LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"210";"15.72%"
"                                    LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"112";"8.38%"
"                                       LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"63";"4.72%"
"                                          LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"31";"2.32%"
"                                             ForkJoinTask.join()";"16";"1.20%"
"                                                ForkJoinTask.doJoin()";"16";"1.20%"
"                                                   ForkJoinTask.doExec()";"16";"1.20%"
"                                                      CancellableForkJoinTask.exec()";"16";"1.20%"
"                                                         ContextualCancellableRecursiveAction.executeTask()";"16";"1.20%"
"                                                            LongContextualCancellableRecursiveBoundedAction.compute()";"16";"1.20%"
"                                                               LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"16";"1.20%"
"                                                                  ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"6";"0.45%"
"                                                                     ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"5";"0.37%"
"                                                                        ACellPlanExecutor.evaluateValue(IExpression)";"3";"0.22%"
"                                                                           FunctionCall.accept(IExpressionVisitor)";"3";"0.22%"
"                                                                              AContextVisitor.visit(IFunctionCall)";"3";"0.22%"
"                                                                                 ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"3";"0.22%"
"                                                                                    IifFunction$ValueIifDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"2";"0.15%"
"                                                                                       ExpressionEvaluator.evaluateBoolean(IExpression)";"2";"0.15%"
"                                                                                          ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"2";"0.15%"
"                                                                                             ExpressionEvaluator.evaluateScalar(IExpression)";"2";"0.15%"
"                                                                                                FunctionCall.accept(IExpressionVisitor)";"2";"0.15%"
"                                                                                                   AContextVisitor.visit(IFunctionCall)";"2";"0.15%"
"                                                                                                      ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"2";"0.15%"
"                                                                                                         AFixedFunction$FixedFunctionSingleDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"2";"0.15%"
"                                                                                                            ComparisonFunctions$LEFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"2";"0.15%"
"                                                                                                               ComparisonFunctions$ComparisonFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"2";"0.15%"
"                                                                                                                  ExpressionEvaluator.evaluateValue(IExpression)";"2";"0.15%"
"                                                                                                                     ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"2";"0.15%"
"                                                                                                                        ExpressionEvaluator.evaluateCurrent()";"2";"0.15%"
"                                                                                                                           CellPlanResult.tryGetValue(ITuple, IExpression, Object)";"2";"0.15%"
"                                                                                                                              AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                                 AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                                                                    AbstractHash$StandardHashTable.read(int)";"1";"0.07%"
"                                                                                                                              CellPlanResultHelper.tupleToPoint(ITuple, int[])";"1";"0.07%"
"                                                                                                                                 AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                                    AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                                                                       AbstractHash$StandardHashTable.read(int)";"1";"0.07%"
"                                                                                    DivideFunction$DivideFunctionDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                       ExpressionEvaluator.evaluateNumeric(IExpression)";"1";"0.07%"
"                                                                                          ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                        CellPlanResult$ResultWriter.write(ITuple, Object)";"2";"0.15%"
"                                                                           CellPlanResult$ResultWriter.writeTrimmed(IMdxMember[], Object)";"2";"0.15%"
"                                                                              CellPlanResult$ResultWriter.doFlush()";"2";"0.15%"
"                                                                                 CellPlanResultHelper.multiMap(int[], int[], int[], int[][], int[][], List, boolean)";"2";"0.15%"
"                                                                                    AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                       AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                          AbstractHash$StandardHashTable.read(int)";"1";"0.07%"
"                                                                                    CellPlanResultHelper.unsafeBitmapGet(int[], IMdxMember, int, int)";"1";"0.07%"
"                                                                                       CellPlanResultHelper.unsafeBitmapGetPositionNoUndef(int[], IMdxMember, int, int)";"1";"0.07%"
"                                                                                          AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                             AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                  ForkJoinTask.join()";"5";"0.37%"
"                                                                     ForkJoinTask.doJoin()";"5";"0.37%"
"                                                                        ForkJoinTask.doExec()";"5";"0.37%"
"                                                                           CancellableForkJoinTask.exec()";"5";"0.37%"
"                                                                              ContextualCancellableRecursiveAction.executeTask()";"5";"0.37%"
"                                                                                 LongContextualCancellableRecursiveBoundedAction.compute()";"5";"0.37%"
"                                                                                    LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"5";"0.37%"
"                                                                                       ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"4";"0.30%"
"                                                                                          ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"3";"0.22%"
"                                                                                             CellPlanResult$ResultWriter.write(ITuple, Object)";"2";"0.15%"
"                                                                                                CellPlanResult$ResultWriter.writeTrimmed(IMdxMember[], Object)";"2";"0.15%"
"                                                                                                   CellPlanResult$ResultWriter.doFlush()";"2";"0.15%"
"                                                                                                      CellPlanResultHelper.multiMap(int[], int[], int[], int[][], int[][], List, boolean)";"2";"0.15%"
"                                                                                                         CellPlanResultHelper.unsafeBitmapGet(int[], IMdxMember, int, int)";"2";"0.15%"
"                                                                                                            CellPlanResultHelper.unsafeBitmapGetPositionNoUndef(int[], IMdxMember, int, int)";"2";"0.15%"
"                                                                                                               CellPlanResultHelper.unsafeBitmapGetPositionNoUndef(int[], IMdxMember, int, int)";"1";"0.07%"
"                                                                                                                  AbstractDictionary.getPosition(Object)";"1";"0.07%"
